AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2019;12;Comunidad de Madrid;Asia;Myanmar;31.0;167.0;5.4
2019;12;Comunidad de Madrid;Asia;Omán;158.0;932.0;5.9
2019;12;Comunidad de Madrid;Asia;Otros países de Asia;333.0;2031.0;6.1
2019;12;Comunidad de Madrid;Asia;Pakistán;71.0;433.0;6.1
2019;12;Comunidad de Madrid;Asia;Qatar;1056.0;4118.0;3.9
2019;12;Comunidad de Madrid;Asia;Singapur;1180.0;7788.0;6.6
2019;12;Comunidad de Madrid;Asia;Siria;33.0;356.0;10.8
2019;12;Comunidad de Madrid;Asia;Sri Lanka;47.0;254.0;5.4
2019;12;Comunidad de Madrid;Asia;Tailandia;1010.0;6565.0;6.5
2019;12;Comunidad de Madrid;Asia;Vietnam;321.0;2247.0;7.0
2019;12;Comunidad de Madrid;Europa;Albania;115.0;541.0;4.7
2019;12;Comunidad de Madrid;Europa;Alemania;34677.0;377979.0;10.9
2019;12;Comunidad de Madrid;Europa;Andorra;331.0;1887.0;5.7
2019;12;Comunidad de Madrid;Europa;Armenia;32.0;166.0;5.2
2019;12;Comunidad de Madrid;Europa;Austria;19009.0;256622.0;13.5
2019;12;Comunidad de Madrid;Europa;Belarús;152.0;988.0;6.5
2019;12;Comunidad de Madrid;Europa;Bosnia y Herzegovina;38.0;247.0;6.5
2019;12;Comunidad de Madrid;Europa;Bulgaria;2061.0;16076.0;7.8
2019;12;Comunidad de Madrid;Europa;Bélgica;12012.0;72072.0;6.0
2019;12;Comunidad de Madrid;Europa;Chipre;263.0;1683.0;6.4
2019;12;Comunidad de Madrid;Europa;Croacia;611.0;4033.0;6.6
2019;12;Comunidad de Madrid;Europa;Dinamarca;5045.0;59531.0;11.8
2019;12;Comunidad de Madrid;Europa;Eslovenia;343.0;2161.0;6.3
2019;12;Comunidad de Madrid;Europa;Estonia;508.0;3962.0;7.8
2019;12;Comunidad de Madrid;Europa;Finlandia;1295.0;8936.0;6.9
2019;12;Comunidad de Madrid;Europa;Francia;66217.0;675413.0;10.2
2019;12;Comunidad de Madrid;Europa;Georgia;169.0;1014.0;6.0
2019;12;Comunidad de Madrid;Europa;Grecia;2669.0;15213.0;5.7
2019;12;Comunidad de Madrid;Europa;Hungría;1393.0;8219.0;5.9
2019;12;Comunidad de Madrid;Europa;Irlanda;4004.0;23624.0;5.9
2019;12;Comunidad de Madrid;Europa;Islandia;150.0;1020.0;6.8
2019;12;Comunidad de Madrid;Europa;Italia;35193.0;214677.0;6.1
2019;12;Comunidad de Madrid;Europa;Letonia;444.0;3952.0;8.9
2019;12;Comunidad de Madrid;Europa;Liechtenstein;1194.0;17313.0;14.5
2019;12;Comunidad de Madrid;Europa;Lituania;757.0;4391.0;5.8
2019;12;Comunidad de Madrid;Europa;Luxemburgo;6280.0;84780.0;13.5
2019;12;Comunidad de Madrid;Europa;Macedonia del Norte;50.0;185.0;3.7
2019;12;Comunidad de Madrid;Europa;Malta;813.0;3740.0;4.6
2019;12;Comunidad de Madrid;Europa;Moldavia;148.0;1288.0;8.7
2019;12;Comunidad de Madrid;Europa;Noruega;1683.0;13296.0;7.9
2019;12;Comunidad de Madrid;Europa;Países Bajos;41795.0;409591.0;9.8
2019;12;Comunidad de Madrid;Europa;Polonia;6557.0;47866.0;7.3
2019;12;Comunidad de Madrid;Europa;Portugal;21650.0;129900.0;6.0
2019;12;Comunidad de Madrid;Europa;Reino Unido;53019.0;344309.0;5.65
2019;12;Comunidad de Madrid;Europa;República Checa;1353.0;7983.0;5.9
2019;12;Comunidad de Madrid;Europa;República Eslovaca;607.0;3763.0;6.2
2019;12;Comunidad de Madrid;Europa;Rumanía;5702.0;46756.0;8.2
2019;12;Comunidad de Madrid;Europa;Rusia;4331.0;16891.0;3.9
2019;12;Comunidad de Madrid;Europa;Serbia;310.0;1581.0;5.1
2019;12;Comunidad de Madrid;Europa;Suecia;10923.0;138722.0;12.7
2019;12;Comunidad de Madrid;Europa;Suiza;9527.0;45730.0;4.8
2019;12;Comunidad de Madrid;Europa;Turquía;1028.0;5140.0;5.0
2019;12;Comunidad de Madrid;Europa;Ucrania;3066.0;13184.0;4.3
2019;12;Comunidad de Madrid;Oceanía;Australia;1061.0;6790.0;6.4
